"model","horizon","cutoff","y","yhat","yhat_lower","yhat_upper"
"BSTS",2,"2018-06-01",12.2078660364429,12.3012232202056,12.1241073960108,12.4520049873663
"BSTS",3,"2018-06-01",11.9122853071461,12.0491792585283,11.8853754243487,12.2080286072078
"BSTS",4,"2018-06-01",11.9389967989713,12.0806811083139,11.8521228735486,12.2864711506355
"BSTS",5,"2018-06-01",12.1837350078085,12.1602043293451,11.9249378906355,12.3637895218261
"BSTS",6,"2018-06-01",12.4418125288972,12.5087238334321,12.2297902540791,12.7536715711225
"BSTS",1,"2018-12-01",12.4059025330669,12.3856049047608,12.2428729666736,12.5324694522909
"BSTS",2,"2018-12-01",12.437315310301,12.356689732553,12.2011215850301,12.5004568492536
"BSTS",3,"2018-12-01",12.4062668638588,12.332453202344,12.1735192245466,12.5006408446267
"BSTS",4,"2018-12-01",12.0255993795938,12.1042310949893,11.9169537477299,12.3192412236425
"BSTS",5,"2018-12-01",10.5401172902609,11.8481477515618,11.6501501988682,12.0460731853216
"BSTS",6,"2018-12-01",11.0520322099524,11.9344393134338,11.7053712307266,12.1802350410369
"BSTS",1,"2019-06-01",11.6587645561868,12.4886665050688,12.1960552648511,12.7410035967201
"BSTS",2,"2019-06-01",11.8746964022503,12.3246128115507,12.0229954038312,12.6373681011378
"BSTS",3,"2019-06-01",11.595196457403,12.0469056274735,11.7683954453627,12.3554612058407
"BSTS",4,"2019-06-01",11.684716772791,12.0629560675023,11.72739626902,12.3728656069764
"BSTS",5,"2019-06-01",12.0838146119898,12.2780955316677,11.9516350158749,12.5733965093724
"BSTS",6,"2019-06-01",12.3952994726398,12.5521591445215,12.2199490336105,12.9092692663537
"BSTS",1,"2019-12-01",12.3390026073314,12.0907612759501,11.6231676293199,12.5338132907894
"BSTS",2,"2019-12-01",12.2429203530236,12.1097998670185,11.7209818390865,12.4887507082147
"BSTS",3,"2019-12-01",11.1756328919651,12.0518405214484,11.6708528201238,12.4562779549168
"BSTS",4,"2019-12-01",0,12.0620713950577,11.5921118807,12.5301313162842
"BSTS",5,"2019-12-01",0,11.3251684097516,10.8820874348779,11.9000944987086
"BSTS",6,"2019-12-01",0,11.6504886059358,11.1761580376654,12.1718860029778
"BSTS",1,"2020-06-01",0,0.396245810427092,-0.125916322144611,0.959212955348815
"BSTS",2,"2020-06-01",0,0.374031112989405,-0.209370939842063,0.935503416240936
"BSTS",3,"2020-06-01",0,0.0906899125505749,-0.569294039901819,0.791265560971214
"BSTS",4,"2020-06-01",0,0.110435727681054,-0.727167128218556,0.879584931798553
"BSTS",5,"2020-06-01",0,0.275037691054583,-0.620985278506939,1.14949828124646
"BSTS",6,"2020-06-01",5.97380961186926,0.590943162172141,-0.43376802457557,1.48263286029335
"BSTS",1,"2020-12-01",7.42773884053289,14.7054241382108,11.1618477214275,17.9664423215211
"BSTS",2,"2020-12-01",8.12148037475075,16.2198362401731,12.3132721365075,20.4733321832942
"BSTS",3,"2020-12-01",8.42967259388674,16.5693797133218,11.7012576249421,22.6092345912507
"BSTS",4,"2020-12-01",8.3351915834332,17.4618974784015,11.7901823502371,24.8395725586326
"BSTS",5,"2020-12-01",7.31121838441963,17.9514667502238,11.7368741411079,27.23551847063
"BSTS",6,"2020-12-01",7.38647084882989,19.0048531869974,11.5758826840545,29.9567779799326
"BSTS",1,"2021-06-01",7.79523492900217,7.72857075220508,5.72812127726095,9.55239323476382
"BSTS",2,"2021-06-01",8.52516136106541,7.54282344092039,5.66427997559462,9.37180504625509
"BSTS",3,"2021-06-01",9.51392039958074,7.27467537276778,5.32819748942097,9.37536225167934
"BSTS",4,"2021-06-01",10.0332430755287,7.03388025440594,4.84961657691257,8.94319593130359
"BSTS",5,"2021-06-01",10.6986045066798,6.73810208160831,4.62698269470425,8.8330422835703
"BSTS",6,"2021-06-01",11.4020609411221,10.5617665961845,7.50298067435332,13.6518863446918
"BSTS",1,"2021-12-01",11.3184544009063,9.91577705937964,7.62534519209019,11.9962585449979
"BSTS",2,"2021-12-01",11.4773708235564,10.3795472722914,8.30083325091634,12.7999052965803
"BSTS",3,"2021-12-01",11.5759002641316,10.4134641278159,8.18559625035287,12.9364711312927
"BSTS",4,"2021-12-01",11.050572494655,10.0315430746949,7.52125258781218,12.75420956518
"BSTS",5,"2021-12-01",10.3158289645837,9.74737526645155,6.79824123071116,12.8652005307949
"BSTS",6,"2021-12-01",10.3998896556364,10.0540812085694,7.05991102954097,13.3794732227482
"BSTS",1,"2022-06-01",10.7641175719849,11.1528006159905,9.31394036211264,13.1546326717015
"BSTS",2,"2022-06-01",10.5390056202594,11.4115582103824,9.25130004170204,13.4033217330368
"BSTS",3,"2022-06-01",10.3023307843354,11.5256337277591,9.24625543481898,13.79771056289
"BSTS",4,"2022-06-01",10.6460437533536,11.7168250303364,8.97298297667423,14.508430373082
"BSTS",5,"2022-06-01",10.9980750860656,12.0106001042029,8.33202827413741,15.0374387176347
"BSTS",6,"2022-06-01",11.4291198531112,13.5442984541056,9.99555177868607,16.5933656890018
"BSTS",1,"2022-12-01",11.5380570056078,10.628856823705,8.89483869650224,12.6072328435898
"BSTS",2,"2022-12-01",11.586538314571,10.7664806028232,8.49123205224254,12.7978663849691
"BSTS",3,"2022-12-01",11.7400211961229,10.6015797814655,8.13901005761585,13.1300132872122
"BSTS",4,"2022-12-01",11.5664472743726,9.95638787615804,6.71214445199958,12.8006873858182
"BSTS",5,"2022-12-01",11.330311865536,9.45855201661753,6.11414164202536,12.4945151955011
"BSTS",6,"2022-12-01",11.5167979571841,9.51613483366492,5.69898359356042,13.3781943045691
"BSTS",1,"2023-06-01",11.8708725993314,11.9751864622165,9.99553181255454,13.7232656745419
"BSTS",2,"2023-06-01",11.8233836806111,12.1826155086619,10.2961392907638,14.1389611250261
"BSTS",3,"2023-06-01",11.6257004255714,12.2363000782968,10.0170144258503,14.6788800261087
"BSTS",4,"2023-06-01",11.6009271847419,12.5188669156987,9.75041304059506,15.214286740016
"BSTS",5,"2023-06-01",11.9283145009427,12.9329263202402,9.9602330849308,15.809013457908
"BSTS",6,"2023-06-01",12.2565375969364,14.2361556668237,10.602495314931,18.0104842173877
"BSTS",1,"2023-12-01",12.2465089656876,11.7962780854199,10.2623561275247,13.4507941437281
"BSTS",2,"2023-12-01",12.2938545589137,11.9059618984926,9.92754250667941,13.8791485563588
"BSTS",3,"2023-12-01",12.2509551848686,11.8039960607694,9.46891067060699,14.2744648637233
